Region,Fire Trucks,Firefighting Personnel,Year,Month,Day of the Week,Severity
1,1.0,2.0,0,5,2,0
1,1.0,2.0,0,5,3,1
1,1.0,2.0,0,5,5,2
1,1.0,2.0,0,5,3,1
1,1.0,2.0,0,5,5,0
1,1.0,2.0,0,5,6,2
1,1.0,2.0,0,5,0,1
1,1.0,2.0,0,5,1,2
1,1.0,2.0,0,6,6,1
1,2.0,4.0,0,7,1,2
1,1.0,2.0,0,7,3,1
1,1.0,2.0,0,7,4,1
1,2.0,4.0,0,7,5,2
1,2.0,4.0,0,7,5,2
1,2.0,4.0,0,7,2,1
1,1.0,2.0,0,7,4,2
1,1.0,2.0,0,7,4,1
1,1.0,2.0,0,7,0,2
1,1.0,2.0,0,8,4,1
1,1.0,2.0,0,8,0,1
1,1.0,2.0,0,8,5,1
1,1.0,2.0,0,8,5,1
1,4.0,8.0,0,8,6,2
1,2.0,4.0,0,8,0,1
1,2.0,4.0,0,8,3,2
1,1.0,2.0,0,8,5,2
1,2.0,4.0,0,8,5,2
1,2.0,4.0,0,9,6,1
1,1.0,2.0,0,9,2,1
1,1.0,2.0,0,9,0,2
1,2.0,4.0,0,9,3,2
1,1.0,2.0,0,9,6,1
1,1.0,2.0,0,9,2,2
1,2.0,4.0,0,10,2,2
1,2.0,4.0,0,10,2,2
1,2.0,4.0,0,10,1,2
1,1.0,2.0,0,4,3,1
1,1.0,3.0,0,5,3,1
1,2.0,4.0,0,5,2,2
1,1.0,2.0,0,7,0,2
1,2.0,8.0,0,7,0,1
1,1.0,2.0,0,8,4,2
1,4.0,10.0,0,8,4,2
1,1.0,2.0,0,8,4,1
1,1.0,2.0,0,8,6,1
1,1.0,2.0,0,8,3,1
1,1.0,2.0,0,9,6,1
1,1.0,2.0,0,9,1,1
1,1.0,2.0,0,9,4,2
1,0.0,6.0,0,9,2,2
1,0.0,2.0,0,9,2,1
1,1.0,2.0,0,9,4,2
1,1.0,2.0,0,9,5,2
1,1.0,2.0,0,9,6,2
1,1.0,2.0,0,9,0,2
1,1.0,2.0,0,9,0,2
1,1.0,2.0,0,10,2,1
1,1.0,2.0,0,10,2,1
1,1.0,2.0,0,10,3,2
1,1.0,2.0,0,10,5,2
1,1.0,2.0,0,10,1,2
1,0.0,2.0,0,10,6,2
1,1.0,2.0,0,10,1,1
1,1.0,2.0,0,10,2,2
1,4.0,9.0,0,7,5,1
1,0.0,4.0,0,6,2,1
1,13.0,43.0,0,7,1,1
1,3.0,8.0,0,12,5,1
1,4.0,10.0,0,12,1,1
1,5.0,12.0,0,5,1,2
1,10.0,43.0,0,6,5,2
1,10.0,43.0,0,6,5,2
1,2.0,7.0,0,6,3,2
1,2.0,5.0,0,6,6,0
1,5.0,14.0,0,6,1,0
1,2.0,6.0,0,6,5,1
1,2.0,7.0,0,6,6,1
1,1.0,2.0,0,7,0,1
1,2.0,4.0,0,7,0,0
1,2.0,12.0,0,7,3,0
1,3.0,12.0,0,7,2,2
1,4.0,10.0,0,7,5,2
1,2.0,7.0,0,7,1,1
1,1.0,2.0,0,7,4,0
1,4.0,11.0,0,8,6,2
1,4.0,9.0,0,8,4,2
1,4.0,9.0,0,8,4,2
1,4.0,15.0,0,8,2,0
1,1.0,3.0,0,9,2,1
1,4.0,13.0,0,9,0,1
1,14.0,57.0,0,9,2,2
1,2.0,6.0,0,9,5,0
1,2.0,4.0,0,9,5,1
1,2.0,6.0,0,9,3,1
1,3.0,6.0,0,10,1,0
1,1.0,3.0,0,10,2,1
1,1.0,2.0,0,10,4,1
1,1.0,3.0,0,10,6,1
1,3.0,11.0,0,12,6,2
1,3.0,7.0,0,1,5,0
1,4.0,10.0,0,1,2,2
1,1.0,3.0,0,4,0,1
1,1.0,2.0,0,5,4,2
1,1.0,2.0,0,5,1,0
1,1.0,3.0,0,5,5,0
1,0.0,0.0,0,5,3,1
1,0.0,0.0,0,5,0,2
1,0.0,0.0,0,6,6,1
1,3.0,6.0,0,6,6,0
1,1.0,2.0,0,7,5,1
1,1.0,2.0,0,7,0,0
1,4.0,9.0,0,7,5,2
1,2.0,4.0,0,7,6,1
1,1.0,2.0,0,8,0,1
1,11.0,102.0,0,8,3,2
1,1.0,2.0,0,8,6,0
1,5.0,14.0,0,8,1,0
1,1.0,2.0,0,8,2,0
1,1.0,3.0,0,8,2,0
1,4.0,8.0,0,8,2,2
1,1.0,2.0,0,8,2,0
1,1.0,7.0,0,9,5,1
1,1.0,2.0,0,9,5,1
1,3.0,5.0,0,10,5,1
1,1.0,2.0,0,10,3,2
1,1.0,2.0,0,10,6,0
1,1.0,2.0,0,11,1,1
1,4.0,9.0,0,12,1,2
1,3.0,8.0,0,1,0,2
1,3.0,6.0,0,2,6,1
1,1.0,3.0,0,4,6,2
1,1.0,3.0,0,4,5,1
1,0.0,0.0,0,5,2,1
1,2.0,6.0,0,5,3,1
1,4.0,9.0,0,6,5,2
1,3.0,7.0,0,6,5,1
1,0.0,0.0,0,6,6,2
1,0.0,0.0,0,6,6,2
1,0.0,0.0,0,6,0,1
1,0.0,0.0,0,6,0,2
1,2.0,4.0,0,6,4,2
1,9.0,32.0,0,6,4,2
1,2.0,5.0,0,6,4,1
1,4.0,9.0,0,7,1,2
1,0.0,0.0,0,7,4,2
1,2.0,4.0,0,7,6,2
1,2.0,4.0,0,7,6,2
1,5.0,10.0,0,7,0,2
1,3.0,6.0,0,8,6,2
1,5.0,10.0,0,8,5,2
1,5.0,18.0,0,8,0,2
1,1.0,2.0,0,8,2,1
1,7.0,15.0,0,8,2,2
1,3.0,6.0,0,9,1,2
1,7.0,14.0,0,9,2,1
1,3.0,6.0,0,9,2,1
1,2.0,4.0,0,9,4,0
1,3.0,8.0,0,9,4,1
1,2.0,5.0,0,9,1,1
1,2.0,5.0,0,9,6,1
1,3.0,6.0,0,9,0,1
1,2.0,6.0,0,10,1,1
1,7.0,40.0,0,10,4,2
1,6.0,24.0,0,10,2,2
1,1.0,3.0,0,10,3,2
1,3.0,6.0,0,11,4,1
1,1.0,3.0,0,12,1,0
1,2.0,4.0,0,12,6,2
1,3.0,14.0,0,6,5,2
1,5.0,12.0,0,6,4,2
1,1.0,2.0,0,7,3,1
1,2.0,6.0,0,7,6,1
1,4.0,10.0,0,9,2,1
1,3.0,14.0,0,9,5,2
1,2.0,9.0,0,11,5,2
1,6.0,15.0,0,12,4,2
1,2.0,4.0,0,1,6,2
1,1.0,4.0,0,2,4,1
1,1.0,3.0,0,2,4,0
1,1.0,3.0,0,3,5,2
1,2.0,5.0,0,4,6,2
1,1.0,3.0,0,4,3,2
1,1.0,2.0,0,5,5,1
1,2.0,4.0,0,5,4,1
1,1.0,2.0,0,5,6,1
1,1.0,2.0,0,5,1,1
1,1.0,3.0,0,5,1,1
1,7.0,16.0,0,5,1,2
1,0.0,56.0,0,5,3,2
1,2.0,4.0,0,5,4,1
1,3.0,7.0,0,5,4,2
1,2.0,5.0,0,5,5,1
1,1.0,2.0,0,5,5,1
1,1.0,2.0,0,5,6,0
1,1.0,3.0,0,5,6,1
1,1.0,2.0,0,5,0,1
1,1.0,2.0,0,5,0,1
1,1.0,2.0,0,5,0,1
1,1.0,2.0,0,5,1,1
1,2.0,5.0,0,5,1,1
1,3.0,7.0,0,5,2,1
1,2.0,7.0,0,5,3,1
1,0.0,3.0,0,5,4,1
1,7.0,15.0,0,5,4,2
1,2.0,5.0,0,5,4,1
1,2.0,4.0,0,5,4,2
1,3.0,7.0,0,5,4,2
1,5.0,10.0,0,6,5,2
1,1.0,2.0,0,6,0,1
1,4.0,9.0,0,6,1,1
1,1.0,2.0,0,6,1,1
1,0.0,0.0,0,6,2,0
1,2.0,5.0,0,6,2,2
1,2.0,5.0,0,6,3,1
1,1.0,2.0,0,6,3,1
1,7.0,18.0,0,6,5,2
1,2.0,6.0,0,6,1,2
1,1.0,2.0,0,6,6,0
1,2.0,5.0,0,6,2,1
1,1.0,2.0,0,6,2,1
1,2.0,6.0,0,6,4,2
1,2.0,5.0,0,6,5,0
1,6.0,13.0,0,6,6,2
1,1.0,2.0,0,6,0,1
1,1.0,2.0,0,6,0,1
1,2.0,5.0,0,6,0,1
1,1.0,2.0,0,6,0,1
1,4.0,8.0,0,6,2,2
1,0.0,0.0,0,6,2,0
1,2.0,5.0,0,6,2,2
1,3.0,7.0,0,6,2,2
1,0.0,80.0,0,6,2,2
1,2.0,5.0,0,6,2,2
1,1.0,3.0,0,6,3,1
1,3.0,7.0,0,6,3,2
1,2.0,5.0,0,6,4,1
1,2.0,5.0,0,6,4,0
1,2.0,5.0,0,6,6,1
1,5.0,10.0,0,7,0,2
1,1.0,2.0,0,7,1,1
1,2.0,5.0,0,7,6,1
1,5.0,8.0,0,7,2,2
1,3.0,8.0,0,7,5,2
1,3.0,8.0,0,7,5,2
1,3.0,7.0,0,7,6,2
1,2.0,4.0,0,7,6,0
1,2.0,5.0,0,7,0,1
1,1.0,2.0,0,7,2,1
1,3.0,7.0,0,7,3,2
1,1.0,2.0,0,7,0,1
1,8.0,18.0,0,7,2,2
1,2.0,6.0,0,7,2,0
1,4.0,9.0,0,8,3,2
1,1.0,2.0,0,8,3,1
1,1.0,2.0,0,8,6,2
1,1.0,2.0,0,8,0,1
1,5.0,10.0,0,8,1,2
1,1.0,3.0,0,8,6,1
1,9.0,36.0,0,8,3,2
1,2.0,5.0,0,9,5,1
1,2.0,2.0,0,9,4,0
1,1.0,2.0,0,9,5,1
1,1.0,3.0,0,9,6,2
1,3.0,7.0,0,9,4,1
1,3.0,7.0,0,9,5,1
1,2.0,5.0,0,9,6,2
1,2.0,5.0,0,9,6,1
1,1.0,2.0,0,9,6,2
1,2.0,5.0,0,9,0,2
1,4.0,8.0,0,9,1,1
1,5.0,11.0,0,9,1,2
1,2.0,5.0,0,9,1,1
1,4.0,9.0,0,9,6,2
1,2.0,5.0,0,9,6,0
1,2.0,5.0,0,10,2,2
1,1.0,2.0,0,10,3,1
1,1.0,2.0,0,10,4,2
1,2.0,5.0,0,10,4,2
1,1.0,2.0,0,10,4,1
1,2.0,5.0,0,10,5,2
1,6.0,14.0,0,10,0,2
1,0.0,0.0,0,10,3,0
1,1.0,2.0,0,10,1,1
1,1.0,2.0,0,10,3,0
1,3.0,6.0,0,10,4,2
1,2.0,4.0,0,10,4,2
1,1.0,2.0,0,10,4,2
1,2.0,5.0,0,10,5,1
1,2.0,5.0,0,10,5,1
1,4.0,9.0,0,10,5,2
1,1.0,2.0,0,10,1,1
1,2.0,5.0,0,10,2,2
1,2.0,5.0,0,10,3,2
1,1.0,3.0,0,10,4,2
1,1.0,2.0,0,10,0,2
1,2.0,5.0,0,10,1,2
1,2.0,5.0,0,10,2,2
1,2.0,6.0,0,11,4,2
1,2.0,4.0,0,11,4,2
1,1.0,3.0,0,11,1,0
1,2.0,7.0,0,11,2,1
1,1.0,2.0,0,11,2,2
1,1.0,3.0,0,11,2,1
1,1.0,3.0,0,11,5,1
1,2.0,4.0,0,12,1,1
1,2.0,8.0,0,12,1,2
1,1.0,3.0,0,12,3,0
1,1.0,2.0,0,12,6,0
1,1.0,2.0,0,12,6,0
1,1.0,4.0,0,12,0,1
1,1.0,2.0,0,12,1,1
1,1.0,3.0,0,12,2,1
1,1.0,2.0,0,12,6,1
1,3.0,7.0,0,5,3,2
1,12.0,40.0,0,5,5,2
1,2.0,8.0,0,5,0,1
1,2.0,5.0,0,5,1,1
1,1.0,2.0,0,5,1,1
1,2.0,7.0,0,5,3,1
1,1.0,3.0,0,5,3,0
1,4.0,8.0,0,5,3,2
1,1.0,2.0,0,6,6,0
1,2.0,6.0,0,6,6,0
1,6.0,19.0,0,6,0,2
1,1.0,4.0,0,6,3,2
1,4.0,15.0,0,6,4,2
1,2.0,4.0,0,6,5,1
1,3.0,6.0,0,6,6,2
1,4.0,9.0,0,6,0,2
1,1.0,2.0,0,6,5,1
1,1.0,2.0,0,6,6,1
1,4.0,8.0,0,6,6,2
1,2.0,4.0,0,6,0,1
1,2.0,7.0,0,6,0,1
1,5.0,21.0,0,6,0,2
1,5.0,10.0,0,6,4,1
1,4.0,16.0,0,6,5,2
1,4.0,8.0,0,6,1,2
1,6.0,14.0,0,6,6,2
1,3.0,6.0,0,7,0,2
1,0.0,0.0,0,7,2,1
1,1.0,2.0,0,7,6,2
1,3.0,7.0,0,7,6,2
1,4.0,8.0,0,7,0,2
1,4.0,14.0,0,7,2,2
1,2.0,4.0,0,7,2,1
1,3.0,7.0,0,7,3,2
1,4.0,8.0,0,7,4,2
1,1.0,2.0,0,7,5,1
1,2.0,4.0,0,7,6,2
1,2.0,5.0,0,7,4,2
1,5.0,28.0,0,7,5,2
1,2.0,4.0,0,7,5,1
1,5.0,18.0,0,7,5,2
1,2.0,4.0,0,7,1,1
1,2.0,4.0,0,7,2,1
1,2.0,4.0,0,7,2,1
1,8.0,34.0,0,8,0,2
1,3.0,6.0,0,8,1,2
1,1.0,2.0,0,8,2,2
1,2.0,4.0,0,8,3,1
1,0.0,0.0,0,8,5,2
1,3.0,6.0,0,8,1,1
1,2.0,9.0,0,8,4,1
1,0.0,0.0,0,8,6,1
1,3.0,12.0,0,8,6,2
1,0.0,0.0,0,8,6,1
1,3.0,15.0,0,8,3,2
1,1.0,14.0,0,8,4,2
1,2.0,7.0,0,9,1,1
1,2.0,4.0,0,9,1,2
1,1.0,5.0,0,9,6,1
1,1.0,2.0,0,9,1,1
1,2.0,7.0,0,9,1,1
1,3.0,7.0,0,10,4,2
1,2.0,4.0,0,10,0,1
1,1.0,3.0,0,10,1,1
1,1.0,3.0,0,11,5,1
1,2.0,6.0,0,11,1,1
1,1.0,3.0,0,11,3,0
1,1.0,2.0,0,1,0,1
1,2.0,4.0,0,1,0,0
1,1.0,3.0,0,1,1,1
1,2.0,5.0,0,1,3,0
1,1.0,2.0,0,1,2,1
1,1.0,3.0,0,1,3,1
1,1.0,2.0,0,2,0,0
1,1.0,3.0,0,3,5,0
1,2.0,4.0,0,4,5,1
1,0.0,0.0,0,4,0,0
1,1.0,3.0,0,5,3,1
1,1.0,2.0,0,5,1,1
1,1.0,3.0,0,5,1,1
1,2.0,4.0,0,5,2,1
1,1.0,2.0,0,5,4,2
1,2.0,4.0,0,6,5,1
1,0.0,0.0,0,6,3,0
1,1.0,2.0,0,6,6,2
1,2.0,1.0,0,6,3,1
1,1.0,2.0,0,7,2,1
1,0.0,0.0,0,7,0,0
1,48.0,5.0,0,7,0,2
1,1.0,2.0,0,7,6,2
1,0.0,0.0,0,7,6,1
1,0.0,0.0,0,7,6,1
1,0.0,0.0,0,7,4,1
1,2.0,5.0,0,7,5,1
1,1.0,3.0,0,7,0,1
1,4.0,6.0,0,7,2,1
1,2.0,5.0,0,8,4,0
1,2.0,4.0,0,8,3,0
1,1.0,2.0,0,8,5,0
1,2.0,4.0,0,8,6,1
1,1.0,2.0,0,8,3,1
1,1.0,3.0,0,8,5,0
1,2.0,4.0,0,8,4,2
1,2.0,4.0,0,8,4,2
1,2.0,4.0,0,8,4,2
1,1.0,2.0,0,9,6,0
1,1.0,2.0,0,9,1,0
1,1.0,2.0,0,9,6,0
1,1.0,2.0,0,9,6,2
1,3.0,7.0,0,9,0,2
1,2.0,5.0,0,9,2,2
1,1.0,3.0,0,10,3,1
1,1.0,2.0,0,10,0,0
1,1.0,3.0,0,10,4,1
1,4.0,11.0,0,10,0,0
1,1.0,3.0,0,10,2,1
1,1.0,3.0,0,10,1,1
1,1.0,3.0,0,10,3,1
1,1.0,3.0,0,10,3,2
1,2.0,5.0,0,11,4,1
1,1.0,3.0,0,12,0,1
1,2.0,4.0,0,12,4,0
1,1.0,2.0,0,12,2,1
1,1.0,3.0,0,12,2,0
1,1.0,3.0,0,1,6,1
1,1.0,3.0,0,1,6,1
1,4.0,10.0,0,1,0,1
1,1.0,3.0,0,1,2,1
1,1.0,3.0,0,2,4,1
1,1.0,3.0,0,2,6,1
1,1.0,3.0,0,4,6,0
1,2.0,5.0,0,4,3,1
1,1.0,4.0,0,4,3,0
1,1.0,3.0,0,4,0,1
1,1.0,3.0,0,5,2,1
1,1.0,2.0,0,5,4,1
1,1.0,3.0,0,5,6,1
1,3.0,8.0,0,5,1,2
1,1.0,2.0,0,5,1,2
1,2.0,5.0,0,5,3,0
1,2.0,5.0,0,5,3,2
1,2.0,4.0,0,5,3,0
1,0.0,0.0,0,7,3,0
1,3.0,6.0,0,7,4,1
1,0.0,0.0,0,7,6,2
1,0.0,0.0,0,7,2,1
1,1.0,2.0,0,7,5,1
1,4.0,9.0,0,8,3,2
1,2.0,5.0,0,8,0,1
1,1.0,3.0,0,8,0,1
1,3.0,5.0,0,8,3,2
1,2.0,4.0,0,8,4,1
1,9.0,22.0,0,8,6,2
1,1.0,3.0,0,8,0,1
1,2.0,4.0,0,8,4,1
1,2.0,3.0,0,8,5,2
1,6.0,14.0,0,9,2,1
1,1.0,4.0,0,9,3,1
1,2.0,5.0,0,9,5,1
1,1.0,3.0,0,9,5,1
1,0.0,0.0,0,9,6,0
1,1.0,2.0,0,9,0,1
1,1.0,2.0,0,9,0,1
1,1.0,3.0,0,9,0,1
1,2.0,6.0,0,9,2,2
1,1.0,3.0,0,9,2,0
1,1.0,3.0,0,9,4,2
1,1.0,3.0,0,9,4,1
1,1.0,3.0,0,10,5,1
1,2.0,5.0,0,10,0,1
1,1.0,4.0,0,10,2,1
1,1.0,3.0,0,10,6,1
1,1.0,3.0,0,10,4,1
1,2.0,5.0,0,10,4,2
1,2.0,5.0,0,10,4,2
1,2.0,5.0,0,10,4,2
1,1.0,3.0,0,10,5,2
1,3.0,7.0,0,10,5,2
1,1.0,3.0,0,11,4,1
1,1.0,3.0,0,11,4,1
1,1.0,2.0,0,11,6,1
1,1.0,3.0,0,12,1,1
1,1.0,4.0,0,12,1,1
1,1.0,2.0,0,1,2,1
1,1.0,2.0,0,1,4,0
1,1.0,2.0,0,1,6,1
1,1.0,2.0,0,1,3,0
1,1.0,2.0,0,2,4,1
1,1.0,2.0,0,2,5,0
1,4.0,8.0,0,2,6,2
1,1.0,2.0,0,3,0,1
1,1.0,3.0,0,3,1,1
1,1.0,3.0,0,4,3,1
1,1.0,2.0,0,5,4,1
1,1.0,2.0,0,5,5,1
1,1.0,2.0,0,5,6,1
1,1.0,2.0,0,5,1,1
1,1.0,3.0,0,5,4,0
1,2.0,4.0,0,5,0,1
1,2.0,4.0,0,5,2,1
1,1.0,2.0,0,5,3,1
1,1.0,2.0,0,6,5,1
1,2.0,5.0,0,6,4,2
1,2.0,4.0,0,6,3,1
1,0.0,0.0,0,6,5,0
1,0.0,0.0,0,6,6,1
1,0.0,0.0,0,6,3,0
1,0.0,0.0,0,6,3,0
1,1.0,2.0,0,6,6,0
1,1.0,2.0,0,6,0,1
1,0.0,0.0,0,6,5,0
1,2.0,4.0,0,7,0,1
1,3.0,7.0,0,7,3,1
1,0.0,0.0,0,7,5,0
1,0.0,0.0,0,7,0,0
1,0.0,0.0,0,7,4,1
1,2.0,5.0,0,7,6,1
1,5.0,11.0,0,8,4,2
1,2.0,5.0,0,8,4,1
1,1.0,2.0,0,8,1,1
1,2.0,6.0,0,8,3,1
1,2.0,4.0,0,8,6,1
1,2.0,4.0,0,8,1,1
1,1.0,2.0,0,9,1,0
1,1.0,2.0,0,9,2,0
1,2.0,4.0,0,9,4,2
1,2.0,4.0,0,9,4,2
1,5.0,10.0,0,9,4,2
1,1.0,2.0,0,9,0,0
1,1.0,2.0,0,10,3,0
1,2.0,4.0,0,10,3,2
1,1.0,2.0,0,10,5,1
1,2.0,4.0,0,10,3,1
1,2.0,5.0,0,10,3,2
1,1.0,2.0,0,10,6,0
1,1.0,3.0,0,10,1,0
1,2.0,5.0,0,10,4,2
1,1.0,3.0,0,10,1,0
1,1.0,3.0,0,10,1,1
1,1.0,3.0,0,10,3,1
1,1.0,3.0,0,10,2,0
1,1.0,3.0,0,11,1,0
1,2.0,5.0,0,12,2,0
1,2.0,6.0,0,12,4,1
1,2.0,4.0,0,12,4,1
1,1.0,3.0,0,12,0,1
1,1.0,2.0,0,12,5,1
1,2.0,4.0,0,12,1,0
1,8.0,18.0,0,1,0,2
1,1.0,2.0,0,1,3,1
1,1.0,2.0,0,1,3,1
1,1.0,2.0,0,3,0,1
1,1.0,2.0,0,3,6,1
1,1.0,2.0,0,3,6,1
1,1.0,2.0,0,5,0,1
1,2.0,4.0,0,5,3,1
1,1.0,3.0,0,5,3,1
1,1.0,3.0,0,5,1,1
1,1.0,3.0,0,6,2,1
1,2.0,5.0,0,7,1,1
1,2.0,5.0,0,7,0,1
1,5.0,12.0,0,8,5,1
1,2.0,6.0,0,8,4,1
1,0.0,0.0,0,8,0,1
1,3.0,6.0,0,8,3,1
1,1.0,2.0,0,8,0,1
1,2.0,6.0,0,9,3,1
1,1.0,3.0,0,9,2,1
1,1.0,2.0,0,9,4,2
1,1.0,3.0,0,9,4,1
1,1.0,3.0,0,9,4,1
1,1.0,2.0,0,9,5,1
1,1.0,2.0,0,9,0,1
1,2.0,5.0,0,9,1,1
1,8.0,57.0,0,9,2,2
1,1.0,2.0,0,9,2,1
1,1.0,2.0,0,10,3,1
1,1.0,2.0,0,10,3,1
1,1.0,2.0,0,12,1,1
1,1.0,2.0,0,12,3,1
1,2.0,4.0,0,12,3,2
1,1.0,3.0,0,12,4,1
1,1.0,1.0,0,12,6,1
1,1.0,2.0,0,12,0,1
1,1.0,2.0,0,12,1,1
1,34.0,3.0,0,12,3,1
1,1.0,3.0,0,1,3,1
1,1.0,2.0,0,2,0,1
1,1.0,3.0,0,3,0,1
1,1.0,3.0,0,3,1,0
1,1.0,3.0,0,3,1,1
1,1.0,2.0,0,4,1,0
1,1.0,2.0,0,4,5,0
1,3.0,12.0,0,5,5,1
1,1.0,2.0,0,5,6,0
1,1.0,2.0,0,5,6,0
1,1.0,2.0,0,5,6,1
1,1.0,2.0,0,5,1,0
1,2.0,4.0,0,6,5,1
1,1.0,2.0,0,6,5,1
1,2.0,4.0,0,6,0,2
1,0.0,0.0,0,6,2,0
1,2.0,4.0,0,7,6,1
1,1.0,2.0,0,7,6,1
1,2.0,4.0,0,7,1,1
1,1.0,2.0,0,8,1,1
1,1.0,2.0,0,8,6,0
1,2.0,4.0,0,8,5,1
1,1.0,2.0,0,8,3,1
1,1.0,2.0,0,8,4,1
1,0.0,0.0,0,9,6,1
1,1.0,2.0,0,9,2,1
1,1.0,2.0,0,9,2,1
1,1.0,2.0,0,9,4,2
1,1.0,2.0,0,9,6,1
1,2.0,4.0,0,9,0,2
1,1.0,2.0,0,9,0,1
1,1.0,2.0,0,10,1,1
1,1.0,2.0,0,10,5,1
1,1.0,3.0,0,10,1,1
1,2.0,5.0,0,10,1,2
1,1.0,2.0,0,10,1,1
1,1.0,2.0,0,10,6,1
1,1.0,2.0,0,11,5,1
1,1.0,2.0,0,12,3,1
1,1.0,2.0,0,3,6,1
1,1.0,3.0,0,4,2,0
1,1.0,2.0,0,4,1,2
1,1.0,2.0,0,5,3,1
1,1.0,2.0,0,5,5,1
1,2.0,4.0,0,5,0,1
1,1.0,2.0,0,6,6,1
1,0.0,0.0,0,6,1,2
1,1.0,2.0,0,6,6,1
1,0.0,0.0,0,6,4,0
1,0.0,0.0,0,6,6,2
1,1.0,2.0,0,7,2,1
1,1.0,2.0,0,7,1,1
1,1.0,3.0,0,7,2,1
1,1.0,2.0,0,7,3,0
1,1.0,2.0,0,7,5,2
1,1.0,2.0,0,7,5,1
1,1.0,2.0,0,7,6,2
1,1.0,2.0,0,7,2,1
1,2.0,4.0,0,7,3,2
1,1.0,2.0,0,7,6,2
1,0.0,0.0,0,7,2,1
1,2.0,5.0,0,8,5,2
1,6.0,18.0,0,8,5,2
1,1.0,2.0,0,8,5,1
1,1.0,2.0,0,8,6,1
1,1.0,2.0,0,8,6,1
1,2.0,4.0,0,8,2,1
1,1.0,2.0,0,8,2,2
1,1.0,3.0,0,8,2,1
1,2.0,5.0,0,8,3,2
1,1.0,2.0,0,8,4,1
1,1.0,2.0,0,8,2,1
1,1.0,2.0,0,8,4,1
1,1.0,2.0,0,8,1,1
1,2.0,4.0,0,8,1,1
1,1.0,2.0,0,8,2,2
1,2.0,4.0,0,8,3,2
1,2.0,4.0,0,8,5,2
1,2.0,4.0,0,8,1,2
1,3.0,6.0,0,9,1,2
1,1.0,2.0,0,9,3,2
1,1.0,2.0,0,9,4,2
1,1.0,2.0,0,9,0,1
1,1.0,2.0,0,9,5,1
1,2.0,4.0,0,9,5,2
1,1.0,2.0,0,9,6,1
1,1.0,3.0,0,9,6,1
1,6.0,14.0,0,9,0,2
1,1.0,2.0,0,9,0,2
1,2.0,4.0,0,9,1,2
1,1.0,2.0,0,9,1,2
1,1.0,2.0,0,9,3,1
1,1.0,2.0,0,9,4,2
1,1.0,2.0,0,9,5,1
1,1.0,3.0,0,10,1,1
1,1.0,2.0,0,10,3,1
1,1.0,2.0,0,10,5,1
1,2.0,4.0,0,10,6,2
1,1.0,3.0,0,10,1,1
1,1.0,2.0,0,10,5,2
1,1.0,2.0,0,10,5,1
1,1.0,3.0,0,10,6,1
1,1.0,3.0,0,10,6,1
1,1.0,3.0,0,10,6,1
1,2.0,6.0,0,10,1,2
1,1.0,2.0,0,10,1,2
1,1.0,2.0,0,10,1,1
1,1.0,2.0,0,10,4,2
1,2.0,4.0,0,10,4,2
1,1.0,3.0,0,10,5,1
1,1.0,3.0,0,10,5,1
1,1.0,3.0,0,10,5,1
1,1.0,2.0,0,10,5,1
1,1.0,2.0,0,10,6,2
1,1.0,2.0,0,10,0,1
1,1.0,2.0,0,10,1,1
1,1.0,3.0,0,10,1,1
1,1.0,2.0,0,10,1,1
1,1.0,2.0,0,10,2,1
1,1.0,2.0,0,10,4,1
1,1.0,2.0,0,10,0,1
1,1.0,3.0,0,10,1,1
1,1.0,2.0,0,10,3,1
1,0.0,0.0,0,11,5,0
1,1.0,2.0,0,12,6,1
1,1.0,2.0,0,12,5,2
1,1.0,2.0,0,12,0,1
1,2.0,5.0,0,2,4,0
1,1.0,3.0,0,4,3,1
1,4.0,10.0,0,4,4,1
1,5.0,14.0,0,5,4,2
1,2.0,3.0,0,5,5,1
1,5.0,8.0,0,5,5,2
1,2.0,4.0,0,5,5,1
1,2.0,4.0,0,5,0,0
1,1.0,4.0,0,5,0,2
1,8.0,19.0,0,5,3,2
1,2.0,6.0,0,6,5,0
1,1.0,7.0,0,6,0,2
1,2.0,5.0,0,6,2,2
1,5.0,14.0,0,6,1,2
1,2.0,6.0,0,6,3,2
1,2.0,5.0,0,7,1,1
1,3.0,8.0,0,7,1,1
1,1.0,3.0,0,7,6,0
1,4.0,9.0,0,8,2,2
1,2.0,5.0,0,8,0,1
1,2.0,6.0,0,9,1,2
1,5.0,24.0,0,9,4,2
1,2.0,4.0,0,9,4,2
1,1.0,3.0,0,10,1,1
1,1.0,6.0,0,10,2,0
1,3.0,10.0,0,10,3,2
1,1.0,4.0,0,10,1,1
1,1.0,3.0,0,10,4,1
1,2.0,5.0,0,10,6,1
1,4.0,10.0,0,10,0,2
1,1.0,3.0,0,10,1,1
1,1.0,3.0,0,10,2,1
1,2.0,5.0,0,10,4,1
1,1.0,3.0,0,11,0,2
1,2.0,5.0,0,12,6,1
1,1.0,3.0,0,12,0,1
1,5.0,12.0,0,12,1,2
1,9.0,86.0,0,5,6,2
1,2.0,15.0,0,10,1,1
1,3.0,8.0,0,3,1,0
1,8.0,30.0,0,4,6,2
1,3.0,6.0,0,5,2,1
1,4.0,7.0,0,5,0,1
1,2.0,4.0,0,6,1,0
1,1.0,2.0,0,6,1,0
1,3.0,7.0,0,6,1,0
1,2.0,4.0,0,6,1,1
1,3.0,8.0,0,6,5,0
1,3.0,6.0,0,7,2,0
